jalan,tanggal/jam,kondisi
traffic light tugu tani jakarta pusat ,07 November 2022 16:08:00,terpantau ramai lancar.
traffic light pancoran ,07 November 2022 14:34:00,terpantau ramai lancar.
jalan taman jatibaru ,08 November 2022 16:06:20,terpantau lancar.
jalan daan mogot baru jalan daan mogot dari arah tangerang ,08 November 2022 08:34:51,.
traffic light fatmawati ,07 November 2022 17:03:00,terpantau ramai lancar.
traffic light tugu tani jakarta pusat ,07 November 2022 16:08:00,terpantau ramai lancar.
traffic light pancoran ,07 November 2022 14:34:00,terpantau ramai lancar.
traffic light pertanian jaksel,10 November 2022 19:37:43,.
traffic light lebak bulus ,10 November 2022 14:35:53,terpantau ramai lancar.
jalan jenderal sudirman (dukuh atas) ,10 November 2022 12:31:15,terpantau ramai lancar.
traffic light pancoran jaksel dari arah pasar minggu ,16 November 2022 17:06:00,"terpantau ramai lancar, demikian juga arah sebaliknya ramai lancar."
jalan rp suroso jakarta pusat,16 November 2022 14:01:26,terpantau ramai lancar.
traffic light pejaten jaksel ,22 November 2022 19:18:43,terpantau ramai lancar.
jalan raya daan mogot jakbar ,22 November 2022 18:05:52,terpantau padat.
jalan yos sudarso jakut ,22 November 2022 16:20:50,terpantau ramai lancar.
traffic light slipi jakbar ,22 November 2022 16:09:23,terpantau ramai lancar.
jalan jendral sudirman jaksel ,22 November 2022 14:24:23,terpantau padat.
traffic light pejaten jaksel ,22 November 2022 19:18:43,terpantau ramai lancar.
jalan raya daan mogot jakbar ,22 November 2022 18:05:52,terpantau padat.
jalan yos sudarso jakut ,22 November 2022 16:20:50,terpantau ramai lancar.
traffic light slipi jakbar ,22 November 2022 16:09:23,terpantau ramai lancar.
jalan jendral sudirman jaksel ,22 November 2022 14:24:23,terpantau padat.
traffic light cokroaminoto jakarta pusat ,13 June 2022 08:56:00,terpantau ramai lancar.
traffic light cempaka putih jakarta pusat ,12 June 2022 07:25:00,terpantau lancar.
traffic light slipi jakbar ,10 June 2022 18:51:00,terpantau ramai lancar.
traffic light pasar inpres jaksel ,09 June 2022 07:16:00,terpantau ramai lancar.
traffic light caglak ,07 June 2022 17:22:00,terpantau ramai lancar.
traffic light grogol jakbar ,04 June 2022 18:57:00,terpantau ramai lancar.
traffic light tugu tani jakarta pusat ,04 June 2022 17:36:00,terpantau ramai lancar.
traffic light tomang jakbar ,04 June 2022 17:27:00,terpantau ramai lancar.
traffic light kalibata jaksel ,04 June 2022 17:05:00,terpantau ramai lancar.
traffic light utan kayu jaktim ,03 June 2022 07:40:00,terpantau ramai lancar.
jalan slipi dari senayan ,02 June 2022 19:15:00,.
jalan yos sudarso jakut ,01 June 2022 08:54:00,terpantau ramai lancar.
traffic light sarinah jakarta pusat ,31 May 2022 07:49:00,terpantau ramai lancar.
traffic light halim baru jaktim ,31 May 2022 07:38:00,terpantau padat.
traffic light fatmawati jaksel ,31 May 2022 07:02:00,terpantau ramai lancar.
traffic light matraman jaktim ,31 May 2022 06:54:00,terpantau ramai lancar.
traffic light tugu tani jakarta pusat ,31 May 2022 06:43:00,terpantau ramai lancar.
